33.29	0.11;0.28;0.13;0.28;23.0;0.11;0.12	0.11;0.28;0.13;0.28;23.5;0.11;0.12	0.11;0.28;0.13;0.28;25.5;0.11;0.12	0.11;0.28;0.13;0.28;23.0;0.11;0.12	0.13;0.28;0.11;0.28;32.5;0.15;0.12	0.13;0.29;0.11;0.29;24.5;0.19;0.12	0.14;0.26;0.10;0.26;22.5;0.19;0.12	0.14;0.26;0.10;0.26;21.5;0.19;0.12
34.45	0.11;0.28;0.13;0.28;25.0;0.08;0.12	0.11;0.28;0.13;0.28;24.0;0.08;0.12	0.11;0.28;0.13;0.28;26.0;0.08;0.12	0.11;0.28;0.13;0.28;25.0;0.08;0.12	0.13;0.28;0.11;0.28;28.0;0.18;0.12	0.13;0.29;0.11;0.29;21.0;0.22;0.12	0.14;0.26;0.10;0.26;22.0;0.23;0.12	0.14;0.26;0.10;0.26;22.0;0.23;0.12
35.18	0.11;0.28;0.13;0.28;30.0;0.06;0.12	0.11;0.28;0.13;0.28;31.0;0.06;0.12	0.11;0.28;0.13;0.28;33.0;0.06;0.12	0.11;0.28;0.13;0.28;33.0;0.06;0.12	0.13;0.28;0.11;0.28;39.0;0.20;0.12	0.13;0.29;0.11;0.29;25.0;0.24;0.12	0.14;0.26;0.10;0.26;24.0;0.23;0.13	0.14;0.26;0.10;0.26;26.0;0.23;0.13
36.32	0.11;0.28;0.13;0.28;24.0;0.02;0.12	0.11;0.28;0.13;0.28;25.0;0.02;0.12	0.11;0.28;0.13;0.28;29.0;0.02;0.12	0.11;0.28;0.13;0.28;23.5;0.02;0.12	0.13;0.28;0.11;0.28;25.0;0.24;0.12	0.20;0.17;0.04;0.17;15.5;0.20;0.17	0.20;0.18;0.04;0.18;16.5;0.20;0.18	0.20;0.18;0.04;0.18;18.0;0.20;0.18
37.54	0.11;0.28;0.13;0.28;14.0;0.01;0.14	0.11;0.28;0.13;0.28;14.0;0.01;0.14	0.11;0.28;0.13;0.28;14.5;0.01;0.14	0.11;0.28;0.13;0.28;14.5;0.01;0.14	0.21;0.17;0.03;0.17;6.5;0.21;0.17	0.17;0.23;0.07;0.23;18.5;0.17;0.23	0.16;0.24;0.08;0.24;18.5;0.16;0.24	0.16;0.24;0.08;0.24;16.5;0.16;0.24
38.17	0.03;0.17;0.21;0.17;13.5;0.03;0.17	0.03;0.17;0.21;0.17;12.0;0.03;0.17	0.03;0.17;0.21;0.17;15.5;0.03;0.17	0.03;0.17;0.21;0.17;13.0;0.03;0.17	0.19;0.20;0.05;0.20;15.0;0.19;0.20	0.15;0.26;0.09;0.26;19.0;0.15;0.26	0.14;0.27;0.10;0.27;20.5;0.14;0.27	0.14;0.27;0.10;0.27;23.0;0.14;0.27
39.42	0.07;0.22;0.17;0.22;17.0;0.07;0.22	0.07;0.22;0.17;0.22;17.0;0.07;0.22	0.07;0.22;0.17;0.22;19.0;0.07;0.22	0.07;0.22;0.17;0.22;20.5;0.07;0.22	0.15;0.25;0.09;0.25;11.5;0.15;0.25	0.13;0.29;0.11;0.29;26.0;0.11;0.29	0.14;0.27;0.10;0.27;18.0;0.11;0.27	0.14;0.27;0.10;0.27;19.5;0.11;0.27
40.04	0.09;0.25;0.15;0.25;16.0;0.09;0.25	0.09;0.25;0.15;0.25;17.0;0.09;0.25	0.09;0.25;0.15;0.25;18.5;0.09;0.25	0.09;0.25;0.15;0.25;17.0;0.09;0.25	0.13;0.28;0.11;0.28;20.0;0.13;0.28	0.13;0.29;0.11;0.29;16.0;0.09;0.26	0.14;0.27;0.10;0.27;25.5;0.09;0.25	0.14;0.27;0.10;0.27;22.5;0.09;0.25
41.34	0.11;0.28;0.13;0.28;26.5;0.13;0.28	0.09;0.25;0.15;0.25;20.5;0.13;0.25	0.09;0.25;0.15;0.25;21.5;0.13;0.25	0.09;0.25;0.15;0.25;19.0;0.13;0.25	0.13;0.28;0.11;0.28;17.5;0.09;0.26	0.13;0.29;0.11;0.29;16.0;0.05;0.20	0.14;0.27;0.10;0.27;15.0;0.05;0.19	0.14;0.27;0.10;0.27;15.5;0.05;0.19
42.56	0.11;0.28;0.13;0.28;27.5;0.16;0.24	0.09;0.25;0.15;0.25;24.5;0.16;0.24	0.09;0.25;0.15;0.25;30.0;0.16;0.24	0.09;0.25;0.15;0.25;24.0;0.16;0.24	0.13;0.28;0.11;0.28;21.0;0.06;0.21	0.13;0.29;0.11;0.29;16.5;0.02;0.15	0.14;0.27;0.10;0.27;17.5;0.01;0.14	0.14;0.27;0.10;0.27;17.0;0.01;0.14
43.20	0.11;0.28;0.13;0.28;21.0;0.18;0.21	0.09;0.25;0.15;0.25;26.5;0.18;0.21	0.09;0.25;0.15;0.25;27.0;0.18;0.21	0.09;0.25;0.15;0.25;25.5;0.18;0.21	0.13;0.28;0.11;0.28;18.0;0.04;0.18	0.13;0.29;0.11;0.29;17.5;0.00;0.12	0.14;0.27;0.10;0.27;18.0;0.01;0.12	0.14;0.27;0.10;0.27;15.0;0.01;0.12
44.45	0.11;0.28;0.13;0.28;16.0;0.22;0.15	0.09;0.25;0.15;0.25;17.0;0.22;0.15	0.09;0.25;0.15;0.25;17.5;0.22;0.15	0.09;0.25;0.15;0.25;17.0;0.22;0.15	0.13;0.28;0.11;0.28;23.5;0.00;0.12	0.13;0.29;0.11;0.29;25.0;0.04;0.12	0.14;0.27;0.10;0.27;22.0;0.05;0.12	0.14;0.27;0.10;0.27;22.0;0.05;0.12
45.12	0.11;0.28;0.13;0.28;17.5;0.24;0.12	0.09;0.25;0.15;0.25;16.5;0.24;0.12	0.09;0.25;0.15;0.25;21.0;0.24;0.12	0.09;0.25;0.15;0.25;17.0;0.24;0.12	0.13;0.28;0.11;0.28;25.0;0.02;0.12	0.13;0.29;0.11;0.29;26.0;0.06;0.12	0.14;0.27;0.10;0.27;18.0;0.07;0.12	0.14;0.27;0.10;0.27;17.5;0.07;0.12
46.51	0.11;0.28;0.13;0.28;23.5;0.20;0.12	0.09;0.25;0.15;0.25;20.5;0.20;0.12	0.09;0.25;0.15;0.25;23.5;0.20;0.12	0.09;0.25;0.15;0.25;20.0;0.20;0.12	0.13;0.28;0.11;0.28;39.0;0.06;0.12	0.13;0.29;0.11;0.29;22.5;0.10;0.12	0.14;0.27;0.10;0.27;20.5;0.11;0.12	0.14;0.27;0.10;0.27;21.0;0.11;0.12
47.24	0.11;0.28;0.13;0.28;21.0;0.18;0.12	0.09;0.25;0.15;0.25;15.5;0.18;0.12	0.09;0.25;0.15;0.25;19.5;0.18;0.12	0.09;0.25;0.15;0.25;16.5;0.18;0.12	0.13;0.28;0.11;0.28;25.5;0.08;0.12	0.13;0.29;0.11;0.29;20.5;0.12;0.12	0.14;0.27;0.10;0.27;23.0;0.13;0.12	0.14;0.27;0.10;0.27;23.5;0.13;0.12
48.56	0.11;0.28;0.13;0.28;21.5;0.14;0.12	0.09;0.25;0.15;0.25;23.5;0.14;0.12	0.09;0.25;0.15;0.25;26.0;0.14;0.12	0.09;0.25;0.15;0.25;26.0;0.14;0.12	0.13;0.28;0.11;0.28;31.5;0.12;0.12	0.13;0.29;0.11;0.29;26.5;0.16;0.12	0.14;0.27;0.10;0.27;26.0;0.17;0.12	0.14;0.27;0.10;0.27;25.5;0.17;0.12
49.31	0.11;0.28;0.13;0.28;24.0;0.11;0.12	0.09;0.25;0.15;0.25;26.0;0.11;0.12	0.09;0.25;0.15;0.25;28.0;0.11;0.12	0.09;0.25;0.15;0.25;26.5;0.11;0.12	0.13;0.28;0.11;0.28;34.0;0.15;0.12	0.13;0.29;0.11;0.29;25.0;0.19;0.12	0.14;0.27;0.10;0.27;25.5;0.19;0.12	0.14;0.27;0.10;0.27;25.5;0.19;0.12
50.68	0.11;0.28;0.13;0.28;25.5;0.07;0.12	0.09;0.25;0.15;0.25;24.0;0.07;0.12	0.09;0.25;0.15;0.25;26.5;0.07;0.12	0.09;0.25;0.15;0.25;24.5;0.07;0.12	0.13;0.28;0.11;0.28;29.5;0.19;0.12	0.13;0.29;0.11;0.29;21.0;0.23;0.12	0.14;0.27;0.10;0.27;22.5;0.23;0.12	0.14;0.27;0.10;0.27;21.0;0.23;0.12
51.07	0.11;0.28;0.13;0.28;23.0;0.06;0.12	0.09;0.25;0.15;0.25;26.0;0.06;0.12	0.09;0.25;0.15;0.25;26.0;0.06;0.12	0.09;0.25;0.15;0.25;26.5;0.06;0.12	0.13;0.28;0.11;0.28;29.5;0.20;0.12	0.13;0.29;0.11;0.29;20.5;0.24;0.12	0.14;0.27;0.10;0.27;19.0;0.24;0.13	0.14;0.27;0.10;0.27;21.0;0.24;0.13
